description,industry,level,size,line_code,value
ICT important in achieving any of the following outcomes: Reduced costs of entering new markets,Administrative & support services,1,total,B2411,69
ICT important in achieving any of the following outcomes: Reduced costs of entering new markets,Education & training,1,total,B2411,27
ICT important in achieving any of the following outcomes: Reduced costs of entering new markets,Health care & social assistance,1,total,B2411,63
ICT important in achieving any of the following outcomes: Reduced costs of entering new markets,Arts & recreation services,1,total,B2411,6
ICT important in achieving any of the following outcomes: Reduced costs of entering new markets,Other services,1,total,B2411,51
ICT important in achieving any of the following outcomes: Reduced costs of entering new markets,total,0,total,B2411,1971
ICT important in achieving any of the following outcomes: Shifted activities to other businesses,total,0,6–19 employees,B2412,2373
ICT important in achieving any of the following outcomes: Shifted activities to other businesses,total,0,20–49 employees,B2412,741
ICT important in achieving any of the following outcomes: Shifted activities to other businesses,total,0,50–99 employees,B2412,249
ICT important in achieving any of the following outcomes: Shifted activities to other businesses,total,0,100+ employees,B2412,306
ICT important in achieving any of the following outcomes: Shifted activities to other businesses,"Agriculture, forestry, & fishing",1,total,B2412,231
ICT important in achieving any of the following outcomes: Shifted activities to other businesses,Agriculture,2,total,B2412,201
ICT important in achieving any of the following outcomes: Shifted activities to other businesses,Commercial fishing,2,total,B2412,0
ICT important in achieving any of the following outcomes: Shifted activities to other businesses,Forestry & logging,2,total,B2412,9
ICT important in achieving any of the following outcomes: Shifted activities to other businesses,"Agriculture, forestry, & fishing support services",2,total,B2412,24
ICT important in achieving any of the following outcomes: Shifted activities to other businesses,Mining,1,total,B2412,9
ICT important in achieving any of the following outcomes: Shifted activities to other businesses,Manufacturing,1,total,B2412,399
ICT important in achieving any of the following outcomes: Shifted activities to other businesses,"Food, beverage, & tobacco",2,total,B2412,114
ICT important in achieving any of the following outcomes: Shifted activities to other businesses,"Textile, clothing, footwear, & leather",2,total,B2412,24
ICT important in achieving any of the following outcomes: Shifted activities to other businesses,Wood & paper product,2,total,B2412,33
ICT important in achieving any of the following outcomes: Shifted activities to other businesses,"Printing, publishing, & recorded media",2,total,B2412,12
ICT important in achieving any of the following outcomes: Shifted activities to other businesses,"Petroleum, coal, chemical, & associated product",2,total,B2412,42
ICT important in achieving any of the following outcomes: Shifted activities to other businesses,Non-metallic mineral product,2,total,B2412,9
ICT important in achieving any of the following outcomes: Shifted activities to other businesses,Metal product,2,total,B2412,72
ICT important in achieving any of the following outcomes: Shifted activities to other businesses,Transport and industrial machinery & equipment,2,total,B2412,39
ICT important in achieving any of the following outcomes: Shifted activities to other businesses,Other machinery & equipment,2,total,B2412,27
ICT important in achieving any of the following outcomes: Shifted activities to other businesses,Other manufacturing,2,total,B2412,27
ICT important in achieving any of the following outcomes: Shifted activities to other businesses,"Electricity, gas, water, & waste services",1,total,B2412,21
ICT important in achieving any of the following outcomes: Shifted activities to other businesses,Construction,1,total,B2412,273
ICT important in achieving any of the following outcomes: Shifted activities to other businesses,Wholesale trade,1,total,B2412,306
ICT important in achieving any of the following outcomes: Shifted activities to other businesses,Machinery & equipment wholesaling,2,total,B2412,78
ICT important in achieving any of the following outcomes: Shifted activities to other businesses,Other wholesale trade,2,total,B2412,225
ICT important in achieving any of the following outcomes: Shifted activities to other businesses,Retail trade,1,total,B2412,525
ICT important in achieving any of the following outcomes: Shifted activities to other businesses,Accommodation & food services,1,total,B2412,477
ICT important in achieving any of the following outcomes: Shifted activities to other businesses,"Transport, postal, & warehousing",1,total,B2412,102
ICT important in achieving any of the following outcomes: Shifted activities to other businesses,Information media & telecommunications,1,total,B2412,81
ICT important in achieving any of the following outcomes: Shifted activities to other businesses,Publishing,2,total,B2412,24
ICT important in achieving any of the following outcomes: Shifted activities to other businesses,Motion picture,2,total,B2412,21
ICT important in achieving any of the following outcomes: Shifted activities to other businesses,Telecommunications,2,total,B2412,33
ICT important in achieving any of the following outcomes: Shifted activities to other businesses,Financial & insurance services,1,total,B2412,96
ICT important in achieving any of the following outcomes: Shifted activities to other businesses,Finance,2,total,B2412,24
ICT important in achieving any of the following outcomes: Shifted activities to other businesses,Insurance,2,total,B2412,12
ICT important in achieving any of the following outcomes: Shifted activities to other businesses,Auxiliary,2,total,B2412,60
ICT important in achieving any of the following outcomes: Shifted activities to other businesses,"Rental, hiring, & real estate services",1,total,B2412,105
ICT important in achieving any of the following outcomes: Shifted activities to other businesses,"Professional, scientific, & technical services",1,total,B2412,570
ICT important in achieving any of the following outcomes: Shifted activities to other businesses,Computer systems design,2,total,B2412,159
ICT important in achieving any of the following outcomes: Shifted activities to other businesses,Other professional scientific,2,total,B2412,414
ICT important in achieving any of the following outcomes: Shifted activities to other businesses,Administrative & support services,1,total,B2412,132
ICT important in achieving any of the following outcomes: Shifted activities to other businesses,Education & training,1,total,B2412,81
ICT important in achieving any of the following outcomes: Shifted activities to other businesses,Health care & social assistance,1,total,B2412,180
ICT important in achieving any of the following outcomes: Shifted activities to other businesses,Arts & recreation services,1,total,B2412,36
ICT important in achieving any of the following outcomes: Shifted activities to other businesses,Other services,1,total,B2412,36
ICT important in achieving any of the following outcomes: Shifted activities to other businesses,total,0,total,B2412,3669
ICT important in achieving any of the following outcomes: Improved collaboration with other businesses,total,0,6–19 employees,B2413,2082
ICT important in achieving any of the following outcomes: Improved collaboration with other businesses,total,0,20–49 employees,B2413,921
ICT important in achieving any of the following outcomes: Improved collaboration with other businesses,total,0,50–99 employees,B2413,318
ICT important in achieving any of the following outcomes: Improved collaboration with other businesses,total,0,100+ employees,B2413,435
ICT important in achieving any of the following outcomes: Improved collaboration with other businesses,"Agriculture, forestry, & fishing",1,total,B2413,144
ICT important in achieving any of the following outcomes: Improved collaboration with other businesses,Agriculture,2,total,B2413,102
ICT important in achieving any of the following outcomes: Improved collaboration with other businesses,Commercial fishing,2,total,B2413,3
ICT important in achieving any of the following outcomes: Improved collaboration with other businesses,Forestry & logging,2,total,B2413,9
ICT important in achieving any of the following outcomes: Improved collaboration with other businesses,"Agriculture, forestry, & fishing support services",2,total,B2413,30
ICT important in achieving any of the following outcomes: Improved collaboration with other businesses,Mining,1,total,B2413,9
ICT important in achieving any of the following outcomes: Improved collaboration with other businesses,Manufacturing,1,total,B2413,393
ICT important in achieving any of the following outcomes: Improved collaboration with other businesses,"Food, beverage, & tobacco",2,total,B2413,93
ICT important in achieving any of the following outcomes: Improved collaboration with other businesses,"Textile, clothing, footwear, & leather",2,total,B2413,9
ICT important in achieving any of the following outcomes: Improved collaboration with other businesses,Wood & paper product,2,total,B2413,30
ICT important in achieving any of the following outcomes: Improved collaboration with other businesses,"Printing, publishing, & recorded media",2,total,B2413,12
ICT important in achieving any of the following outcomes: Improved collaboration with other businesses,"Petroleum, coal, chemical, & associated product",2,total,B2413,39
ICT important in achieving any of the following outcomes: Improved collaboration with other businesses,Non-metallic mineral product,2,total,B2413,12
ICT important in achieving any of the following outcomes: Improved collaboration with other businesses,Metal product,2,total,B2413,69
ICT important in achieving any of the following outcomes: Improved collaboration with other businesses,Transport and industrial machinery & equipment,2,total,B2413,72
ICT important in achieving any of the following outcomes: Improved collaboration with other businesses,Other machinery & equipment,2,total,B2413,45
ICT important in achieving any of the following outcomes: Improved collaboration with other businesses,Other manufacturing,2,total,B2413,12
ICT important in achieving any of the following outcomes: Improved collaboration with other businesses,"Electricity, gas, water, & waste services",1,total,B2413,21
ICT important in achieving any of the following outcomes: Improved collaboration with other businesses,Construction,1,total,B2413,309
ICT important in achieving any of the following outcomes: Improved collaboration with other businesses,Wholesale trade,1,total,B2413,348
ICT important in achieving any of the following outcomes: Improved collaboration with other businesses,Machinery & equipment wholesaling,2,total,B2413,120
ICT important in achieving any of the following outcomes: Improved collaboration with other businesses,Other wholesale trade,2,total,B2413,228
ICT important in achieving any of the following outcomes: Improved collaboration with other businesses,Retail trade,1,total,B2413,414
ICT important in achieving any of the following outcomes: Improved collaboration with other businesses,Accommodation & food services,1,total,B2413,165
ICT important in achieving any of the following outcomes: Improved collaboration with other businesses,"Transport, postal, & warehousing",1,total,B2413,150
ICT important in achieving any of the following outcomes: Improved collaboration with other businesses,Information media & telecommunications,1,total,B2413,108
ICT important in achieving any of the following outcomes: Improved collaboration with other businesses,Publishing,2,total,B2413,48
ICT important in achieving any of the following outcomes: Improved collaboration with other businesses,Motion picture,2,total,B2413,15
ICT important in achieving any of the following outcomes: Improved collaboration with other businesses,Telecommunications,2,total,B2413,42
ICT important in achieving any of the following outcomes: Improved collaboration with other businesses,Financial & insurance services,1,total,B2413,123
ICT important in achieving any of the following outcomes: Improved collaboration with other businesses,Finance,2,total,B2413,30
ICT important in achieving any of the following outcomes: Improved collaboration with other businesses,Insurance,2,total,B2413,15
ICT important in achieving any of the following outcomes: Improved collaboration with other businesses,Auxiliary,2,total,B2413,84
ICT important in achieving any of the following outcomes: Improved collaboration with other businesses,"Rental, hiring, & real estate services",1,total,B2413,162
ICT important in achieving any of the following outcomes: Improved collaboration with other businesses,"Professional, scientific, & technical services",1,total,B2413,930
ICT important in achieving any of the following outcomes: Improved collaboration with other businesses,Computer systems design,2,total,B2413,327
ICT important in achieving any of the following outcomes: Improved collaboration with other businesses,Other professional scientific,2,total,B2413,606
ICT important in achieving any of the following outcomes: Improved collaboration with other businesses,Administrative & support services,1,total,B2413,147
ICT important in achieving any of the following outcomes: Improved collaboration with other businesses,Education & training,1,total,B2413,42
ICT important in achieving any of the following outcomes: Improved collaboration with other businesses,Health care & social assistance,1,total,B2413,162
ICT important in achieving any of the following outcomes: Improved collaboration with other businesses,Arts & recreation services,1,total,B2413,24
ICT important in achieving any of the following outcomes: Improved collaboration with other businesses,Other services,1,total,B2413,102
ICT important in achieving any of the following outcomes: Improved collaboration with other businesses,total,0,total,B2413,3756
ICT important in achieving any of the following outcomes: None of the above,total,0,6–19 employees,B2414,15309
ICT important in achieving any of the following outcomes: None of the above,total,0,20–49 employees,B2414,1986
ICT important in achieving any of the following outcomes: None of the above,total,0,50–99 employees,B2414,438
ICT important in achieving any of the following outcomes: None of the above,total,0,100+ employees,B2414,183
ICT important in achieving any of the following outcomes: None of the above,"Agriculture, forestry, & fishing",1,total,B2414,1863
ICT important in achieving any of the following outcomes: None of the above,Agriculture,2,total,B2414,1089
ICT important in achieving any of the following outcomes: None of the above,Commercial fishing,2,total,B2414,30
ICT important in achieving any of the following outcomes: None of the above,Forestry & logging,2,total,B2414,168
ICT important in achieving any of the following outcomes: None of the above,"Agriculture, forestry, & fishing support services",2,total,B2414,576
ICT important in achieving any of the following outcomes: None of the above,Mining,1,total,B2414,39
ICT important in achieving any of the following outcomes: None of the above,Manufacturing,1,total,B2414,2061
ICT important in achieving any of the following outcomes: None of the above,"Food, beverage, & tobacco",2,total,B2414,417
ICT important in achieving any of the following outcomes: None of the above,"Textile, clothing, footwear, & leather",2,total,B2414,108
ICT important in achieving any of the following outcomes: None of the above,Wood & paper product,2,total,B2414,213
ICT important in achieving any of the following outcomes: None of the above,"Printing, publishing, & recorded media",2,total,B2414,87
ICT important in achieving any of the following outcomes: None of the above,"Petroleum, coal, chemical, & associated product",2,total,B2414,129
ICT important in achieving any of the following outcomes: None of the above,Non-metallic mineral product,2,total,B2414,66
ICT important in achieving any of the following outcomes: None of the above,Metal product,2,total,B2414,447
ICT important in achieving any of the following outcomes: None of the above,Transport and industrial machinery & equipment,2,total,B2414,438
ICT important in achieving any of the following outcomes: None of the above,Other machinery & equipment,2,total,B2414,54
ICT important in achieving any of the following outcomes: None of the above,Other manufacturing,2,total,B2414,105
ICT important in achieving any of the following outcomes: None of the above,"Electricity, gas, water, & waste services",1,total,B2414,60
ICT important in achieving any of the following outcomes: None of the above,Construction,1,total,B2414,3006
ICT important in achieving any of the following outcomes: None of the above,Wholesale trade,1,total,B2414,894
ICT important in achieving any of the following outcomes: None of the above,Machinery & equipment wholesaling,2,total,B2414,222
ICT important in achieving any of the following outcomes: None of the above,Other wholesale trade,2,total,B2414,672
ICT important in achieving any of the following outcomes: None of the above,Retail trade,1,total,B2414,1578
ICT important in achieving any of the following outcomes: None of the above,Accommodation & food services,1,total,B2414,3888
ICT important in achieving any of the following outcomes: None of the above,"Transport, postal, & warehousing",1,total,B2414,744
ICT important in achieving any of the following outcomes: None of the above,Information media & telecommunications,1,total,B2414,45
ICT important in achieving any of the following outcomes: None of the above,Publishing,2,total,B2414,9
ICT important in achieving any of the following outcomes: None of the above,Motion picture,2,total,B2414,27
ICT important in achieving any of the following outcomes: None of the above,Telecommunications,2,total,B2414,6
ICT important in achieving any of the following outcomes: None of the above,Financial & insurance services,1,total,B2414,75
ICT important in achieving any of the following outcomes: None of the above,Finance,2,total,B2414,27
ICT important in achieving any of the following outcomes: None of the above,Insurance,2,total,B2414,3
ICT important in achieving any of the following outcomes: None of the above,Auxiliary,2,total,B2414,48
ICT important in achieving any of the following outcomes: None of the above,"Rental, hiring, & real estate services",1,total,B2414,204
ICT important in achieving any of the following outcomes: None of the above,"Professional, scientific, & technical services",1,total,B2414,900
ICT important in achieving any of the following outcomes: None of the above,Computer systems design,2,total,B2414,72
ICT important in achieving any of the following outcomes: None of the above,Other professional scientific,2,total,B2414,831
ICT important in achieving any of the following outcomes: None of the above,Administrative & support services,1,total,B2414,630
ICT important in achieving any of the following outcomes: None of the above,Education & training,1,total,B2414,369
ICT important in achieving any of the following outcomes: None of the above,Health care & social assistance,1,total,B2414,807
ICT important in achieving any of the following outcomes: None of the above,Arts & recreation services,1,total,B2414,150
ICT important in achieving any of the following outcomes: None of the above,Other services,1,total,B2414,591
ICT important in achieving any of the following outcomes: None of the above,total,0,total,B2414,17916
In last 2 years did business do any of the following activities to get better ICT: Changed staff levels or skills mix,total,0,6–19 employees,B2501,3936
In last 2 years did business do any of the following activities to get better ICT: Changed staff levels or skills mix,total,0,20–49 employees,B2501,1524
In last 2 years did business do any of the following activities to get better ICT: Changed staff levels or skills mix,total,0,50–99 employees,B2501,609
In last 2 years did business do any of the following activities to get better ICT: Changed staff levels or skills mix,total,0,100+ employees,B2501,738
In last 2 years did business do any of the following activities to get better ICT: Changed staff levels or skills mix,"Agriculture, forestry, & fishing",1,total,B2501,309
In last 2 years did business do any of the following activities to get better ICT: Changed staff levels or skills mix,Agriculture,2,total,B2501,156
In last 2 years did business do any of the following activities to get better ICT: Changed staff levels or skills mix,Commercial fishing,2,total,B2501,6
In last 2 years did business do any of the following activities to get better ICT: Changed staff levels or skills mix,Forestry & logging,2,total,B2501,15
In last 2 years did business do any of the following activities to get better ICT: Changed staff levels or skills mix,"Agriculture, forestry, & fishing support services",2,total,B2501,132
In last 2 years did business do any of the following activities to get better ICT: Changed staff levels or skills mix,Mining,1,total,B2501,12
In last 2 years did business do any of the following activities to get better ICT: Changed staff levels or skills mix,Manufacturing,1,total,B2501,759
In last 2 years did business do any of the following activities to get better ICT: Changed staff levels or skills mix,"Food, beverage, & tobacco",2,total,B2501,189
In last 2 years did business do any of the following activities to get better ICT: Changed staff levels or skills mix,"Textile, clothing, footwear, & leather",2,total,B2501,48
In last 2 years did business do any of the following activities to get better ICT: Changed staff levels or skills mix,Wood & paper product,2,total,B2501,63
In last 2 years did business do any of the following activities to get better ICT: Changed staff levels or skills mix,"Printing, publishing, & recorded media",2,total,B2501,33
In last 2 years did business do any of the following activities to get better ICT: Changed staff levels or skills mix,"Petroleum, coal, chemical, & associated product",2,total,B2501,57
In last 2 years did business do any of the following activities to get better ICT: Changed staff levels or skills mix,Non-metallic mineral product,2,total,B2501,45
In last 2 years did business do any of the following activities to get better ICT: Changed staff levels or skills mix,Metal product,2,total,B2501,132
In last 2 years did business do any of the following activities to get better ICT: Changed staff levels or skills mix,Transport and industrial machinery & equipment,2,total,B2501,75
In last 2 years did business do any of the following activities to get better ICT: Changed staff levels or skills mix,Other machinery & equipment,2,total,B2501,66
In last 2 years did business do any of the following activities to get better ICT: Changed staff levels or skills mix,Other manufacturing,2,total,B2501,57
In last 2 years did business do any of the following activities to get better ICT: Changed staff levels or skills mix,"Electricity, gas, water, & waste services",1,total,B2501,48
In last 2 years did business do any of the following activities to get better ICT: Changed staff levels or skills mix,Construction,1,total,B2501,1059
In last 2 years did business do any of the following activities to get better ICT: Changed staff levels or skills mix,Wholesale trade,1,total,B2501,495
In last 2 years did business do any of the following activities to get better ICT: Changed staff levels or skills mix,Machinery & equipment wholesaling,2,total,B2501,150
In last 2 years did business do any of the following activities to get better ICT: Changed staff levels or skills mix,Other wholesale trade,2,total,B2501,342
In last 2 years did business do any of the following activities to get better ICT: Changed staff levels or skills mix,Retail trade,1,total,B2501,792
In last 2 years did business do any of the following activities to get better ICT: Changed staff levels or skills mix,Accommodation & food services,1,total,B2501,366
In last 2 years did business do any of the following activities to get better ICT: Changed staff levels or skills mix,"Transport, postal, & warehousing",1,total,B2501,171
In last 2 years did business do any of the following activities to get better ICT: Changed staff levels or skills mix,Information media & telecommunications,1,total,B2501,123
In last 2 years did business do any of the following activities to get better ICT: Changed staff levels or skills mix,Publishing,2,total,B2501,36
In last 2 years did business do any of the following activities to get better ICT: Changed staff levels or skills mix,Motion picture,2,total,B2501,33
In last 2 years did business do any of the following activities to get better ICT: Changed staff levels or skills mix,Telecommunications,2,total,B2501,51
In last 2 years did business do any of the following activities to get better ICT: Changed staff levels or skills mix,Financial & insurance services,1,total,B2501,228
In last 2 years did business do any of the following activities to get better ICT: Changed staff levels or skills mix,Finance,2,total,B2501,72
In last 2 years did business do any of the following activities to get better ICT: Changed staff levels or skills mix,Insurance,2,total,B2501,24
In last 2 years did business do any of the following activities to get better ICT: Changed staff levels or skills mix,Auxiliary,2,total,B2501,135
In last 2 years did business do any of the following activities to get better ICT: Changed staff levels or skills mix,"Rental, hiring, & real estate services",1,total,B2501,216
In last 2 years did business do any of the following activities to get better ICT: Changed staff levels or skills mix,"Professional, scientific, & technical services",1,total,B2501,1146
In last 2 years did business do any of the following activities to get better ICT: Changed staff levels or skills mix,Computer systems design,2,total,B2501,345
In last 2 years did business do any of the following activities to get better ICT: Changed staff levels or skills mix,Other professional scientific,2,total,B2501,801
In last 2 years did business do any of the following activities to get better ICT: Changed staff levels or skills mix,Administrative & support services,1,total,B2501,261
In last 2 years did business do any of the following activities to get better ICT: Changed staff levels or skills mix,Education & training,1,total,B2501,141
In last 2 years did business do any of the following activities to get better ICT: Changed staff levels or skills mix,Health care & social assistance,1,total,B2501,450
In last 2 years did business do any of the following activities to get better ICT: Changed staff levels or skills mix,Arts & recreation services,1,total,B2501,93
In last 2 years did business do any of the following activities to get better ICT: Changed staff levels or skills mix,Other services,1,total,B2501,132
In last 2 years did business do any of the following activities to get better ICT: Changed staff levels or skills mix,total,0,total,B2501,6810
In last 2 years did business do any of the following activities to get better ICT: Trained employees,total,0,6–19 employees,B2502,10548
In last 2 years did business do any of the following activities to get better ICT: Trained employees,total,0,20–49 employees,B2502,4020
In last 2 years did business do any of the following activities to get better ICT: Trained employees,total,0,50–99 employees,B2502,1371
In last 2 years did business do any of the following activities to get better ICT: Trained employees,total,0,100+ employees,B2502,1332
In last 2 years did business do any of the following activities to get better ICT: Trained employees,"Agriculture, forestry, & fishing",1,total,B2502,849
In last 2 years did business do any of the following activities to get better ICT: Trained employees,Agriculture,2,total,B2502,555
In last 2 years did business do any of the following activities to get better ICT: Trained employees,Commercial fishing,2,total,B2502,9
In last 2 years did business do any of the following activities to get better ICT: Trained employees,Forestry & logging,2,total,B2502,60
In last 2 years did business do any of the following activities to get better ICT: Trained employees,"Agriculture, forestry, & fishing support services",2,total,B2502,225
In last 2 years did business do any of the following activities to get better ICT: Trained employees,Mining,1,total,B2502,45
In last 2 years did business do any of the following activities to get better ICT: Trained employees,Manufacturing,1,total,B2502,1890
In last 2 years did business do any of the following activities to get better ICT: Trained employees,"Food, beverage, & tobacco",2,total,B2502,483
In last 2 years did business do any of the following activities to get better ICT: Trained employees,"Textile, clothing, footwear, & leather",2,total,B2502,81
In last 2 years did business do any of the following activities to get better ICT: Trained employees,Wood & paper product,2,total,B2502,228
In last 2 years did business do any of the following activities to get better ICT: Trained employees,"Printing, publishing, & recorded media",2,total,B2502,39
In last 2 years did business do any of the following activities to get better ICT: Trained employees,"Petroleum, coal, chemical, & associated product",2,total,B2502,171
In last 2 years did business do any of the following activities to get better ICT: Trained employees,Non-metallic mineral product,2,total,B2502,81
In last 2 years did business do any of the following activities to get better ICT: Trained employees,Metal product,2,total,B2502,318
In last 2 years did business do any of the following activities to get better ICT: Trained employees,Transport and industrial machinery & equipment,2,total,B2502,234
In last 2 years did business do any of the following activities to get better ICT: Trained employees,Other machinery & equipment,2,total,B2502,123
In last 2 years did business do any of the following activities to get better ICT: Trained employees,Other manufacturing,2,total,B2502,132
In last 2 years did business do any of the following activities to get better ICT: Trained employees,"Electricity, gas, water, & waste services",1,total,B2502,93
In last 2 years did business do any of the following activities to get better ICT: Trained employees,Construction,1,total,B2502,2529
In last 2 years did business do any of the following activities to get better ICT: Trained employees,Wholesale trade,1,total,B2502,1266
In last 2 years did business do any of the following activities to get better ICT: Trained employees,Machinery & equipment wholesaling,2,total,B2502,432
In last 2 years did business do any of the following activities to get better ICT: Trained employees,Other wholesale trade,2,total,B2502,834
In last 2 years did business do any of the following activities to get better ICT: Trained employees,Retail trade,1,total,B2502,2010
In last 2 years did business do any of the following activities to get better ICT: Trained employees,Accommodation & food services,1,total,B2502,1257
In last 2 years did business do any of the following activities to get better ICT: Trained employees,"Transport, postal, & warehousing",1,total,B2502,579
In last 2 years did business do any of the following activities to get better ICT: Trained employees,Information media & telecommunications,1,total,B2502,228
In last 2 years did business do any of the following activities to get better ICT: Trained employees,Publishing,2,total,B2502,81
In last 2 years did business do any of the following activities to get better ICT: Trained employees,Motion picture,2,total,B2502,57
In last 2 years did business do any of the following activities to get better ICT: Trained employees,Telecommunications,2,total,B2502,87
In last 2 years did business do any of the following activities to get better ICT: Trained employees,Financial & insurance services,1,total,B2502,399
In last 2 years did business do any of the following activities to get better ICT: Trained employees,Finance,2,total,B2502,111
In last 2 years did business do any of the following activities to get better ICT: Trained employees,Insurance,2,total,B2502,27
In last 2 years did business do any of the following activities to get better ICT: Trained employees,Auxiliary,2,total,B2502,261
In last 2 years did business do any of the following activities to get better ICT: Trained employees,"Rental, hiring, & real estate services",1,total,B2502,480
In last 2 years did business do any of the following activities to get better ICT: Trained employees,"Professional, scientific, & technical services",1,total,B2502,2649
In last 2 years did business do any of the following activities to get better ICT: Trained employees,Computer systems design,2,total,B2502,633
In last 2 years did business do any of the following activities to get better ICT: Trained employees,Other professional scientific,2,total,B2502,2016
In last 2 years did business do any of the following activities to get better ICT: Trained employees,Administrative & support services,1,total,B2502,669
In last 2 years did business do any of the following activities to get better ICT: Trained employees,Education & training,1,total,B2502,429
In last 2 years did business do any of the following activities to get better ICT: Trained employees,Health care & social assistance,1,total,B2502,1269
In last 2 years did business do any of the following activities to get better ICT: Trained employees,Arts & recreation services,1,total,B2502,243
In last 2 years did business do any of the following activities to get better ICT: Trained employees,Other services,1,total,B2502,384
In last 2 years did business do any of the following activities to get better ICT: Trained employees,total,0,total,B2502,17274
In last 2 years did business do any of the following activities to get better ICT: Introduced new work practices (teamworking),total,0,6–19 employees,B2503,7101
In last 2 years did business do any of the following activities to get better ICT: Introduced new work practices (teamworking),total,0,20–49 employees,B2503,2652
In last 2 years did business do any of the following activities to get better ICT: Introduced new work practices (teamworking),total,0,50–99 employees,B2503,978
In last 2 years did business do any of the following activities to get better ICT: Introduced new work practices (teamworking),total,0,100+ employees,B2503,930
In last 2 years did business do any of the following activities to get better ICT: Introduced new work practices (teamworking),"Agriculture, forestry, & fishing",1,total,B2503,438
In last 2 years did business do any of the following activities to get better ICT: Introduced new work practices (teamworking),Agriculture,2,total,B2503,285
In last 2 years did business do any of the following activities to get better ICT: Introduced new work practices (teamworking),Commercial fishing,2,total,B2503,6
In last 2 years did business do any of the following activities to get better ICT: Introduced new work practices (teamworking),Forestry & logging,2,total,B2503,33
In last 2 years did business do any of the following activities to get better ICT: Introduced new work practices (teamworking),"Agriculture, forestry, & fishing support services",2,total,B2503,117
In last 2 years did business do any of the following activities to get better ICT: Introduced new work practices (teamworking),Mining,1,total,B2503,30
In last 2 years did business do any of the following activities to get better ICT: Introduced new work practices (teamworking),Manufacturing,1,total,B2503,1185
In last 2 years did business do any of the following activities to get better ICT: Introduced new work practices (teamworking),"Food, beverage, & tobacco",2,total,B2503,285
In last 2 years did business do any of the following activities to get better ICT: Introduced new work practices (teamworking),"Textile, clothing, footwear, & leather",2,total,B2503,54
In last 2 years did business do any of the following activities to get better ICT: Introduced new work practices (teamworking),Wood & paper product,2,total,B2503,117
In last 2 years did business do any of the following activities to get better ICT: Introduced new work practices (teamworking),"Printing, publishing, & recorded media",2,total,B2503,33
In last 2 years did business do any of the following activities to get better ICT: Introduced new work practices (teamworking),"Petroleum, coal, chemical, & associated product",2,total,B2503,117
In last 2 years did business do any of the following activities to get better ICT: Introduced new work practices (teamworking),Non-metallic mineral product,2,total,B2503,48
In last 2 years did business do any of the following activities to get better ICT: Introduced new work practices (teamworking),Metal product,2,total,B2503,204
In last 2 years did business do any of the following activities to get better ICT: Introduced new work practices (teamworking),Transport and industrial machinery & equipment,2,total,B2503,153
In last 2 years did business do any of the following activities to get better ICT: Introduced new work practices (teamworking),Other machinery & equipment,2,total,B2503,81
In last 2 years did business do any of the following activities to get better ICT: Introduced new work practices (teamworking),Other manufacturing,2,total,B2503,90
In last 2 years did business do any of the following activities to get better ICT: Introduced new work practices (teamworking),"Electricity, gas, water, & waste services",1,total,B2503,69
In last 2 years did business do any of the following activities to get better ICT: Introduced new work practices (teamworking),Construction,1,total,B2503,1785
In last 2 years did business do any of the following activities to get better ICT: Introduced new work practices (teamworking),Wholesale trade,1,total,B2503,957
In last 2 years did business do any of the following activities to get better ICT: Introduced new work practices (teamworking),Machinery & equipment wholesaling,2,total,B2503,336
In last 2 years did business do any of the following activities to get better ICT: Introduced new work practices (teamworking),Other wholesale trade,2,total,B2503,621
In last 2 years did business do any of the following activities to get better ICT: Introduced new work practices (teamworking),Retail trade,1,total,B2503,1155
In last 2 years did business do any of the following activities to get better ICT: Introduced new work practices (teamworking),Accommodation & food services,1,total,B2503,678
In last 2 years did business do any of the following activities to get better ICT: Introduced new work practices (teamworking),"Transport, postal, & warehousing",1,total,B2503,378
In last 2 years did business do any of the following activities to get better ICT: Introduced new work practices (teamworking),Information media & telecommunications,1,total,B2503,198
In last 2 years did business do any of the following activities to get better ICT: Introduced new work practices (teamworking),Publishing,2,total,B2503,69
In last 2 years did business do any of the following activities to get better ICT: Introduced new work practices (teamworking),Motion picture,2,total,B2503,63
In last 2 years did business do any of the following activities to get better ICT: Introduced new work practices (teamworking),Telecommunications,2,total,B2503,63
In last 2 years did business do any of the following activities to get better ICT: Introduced new work practices (teamworking),Financial & insurance services,1,total,B2503,345
In last 2 years did business do any of the following activities to get better ICT: Introduced new work practices (teamworking),Finance,2,total,B2503,96
In last 2 years did business do any of the following activities to get better ICT: Introduced new work practices (teamworking),Insurance,2,total,B2503,27
In last 2 years did business do any of the following activities to get better ICT: Introduced new work practices (teamworking),Auxiliary,2,total,B2503,222
In last 2 years did business do any of the following activities to get better ICT: Introduced new work practices (teamworking),"Rental, hiring, & real estate services",1,total,B2503,411
In last 2 years did business do any of the following activities to get better ICT: Introduced new work practices (teamworking),"Professional, scientific, & technical services",1,total,B2503,2157
In last 2 years did business do any of the following activities to get better ICT: Introduced new work practices (teamworking),Computer systems design,2,total,B2503,468
In last 2 years did business do any of the following activities to get better ICT: Introduced new work practices (teamworking),Other professional scientific,2,total,B2503,1689
In last 2 years did business do any of the following activities to get better ICT: Introduced new work practices (teamworking),Administrative & support services,1,total,B2503,471
In last 2 years did business do any of the following activities to get better ICT: Introduced new work practices (teamworking),Education & training,1,total,B2503,240
